d1,d2,d3,d4,x,y,yl,yu
447.949,441.727,421.837,451.213,4.26850940212645,-2.04678476911479,-2.50936516592619,-1.82616950294321
472.429,408.525,394.297,416.635,4.67001669461746,-2.81896145764832,-3.14986109997273,-2.63034773124609
496.755,445.552,429.18,454.119,5.06899816508871,-1.95782700049722,-2.33858950711341,-1.75858485572682
521.235,428.722,419.083,435.148,5.47050545757972,-2.34924118241455,-2.57341475933084,-2.19979213113702
545.563,433.77,426.733,438.819,5.86951973093435,-2.23184018477232,-2.39549922209569,-2.11441593019712
569.889,422.908,418.165,426.733,6.2685012014056,-2.48445699071327,-2.59476462379906,-2.39549922209569
594.369,412.963,408.525,416.635,6.67000849389661,-2.71574718911896,-2.81896145764832,-2.63034773124609
618.696,372.265,367.522,375.937,7.06900636580956,-3.66225784720997,-3.77256548029576,-3.5768583893371
643.176,335.392,320.092,343.807,7.47051365830057,-4.5198107366834,-4.87564181115371,-4.32410364572473
667.503,271.744,256.138,280.007,7.86951153021351,-6.00006800647986,-6.36301570243957,-5.80789596933293
